"date","","2022-12-31_FY","2021-12-31_FY","2020-12-31_FY","2019-12-31_FY","2018-12-31_FY"
,"revenue",513983000000,469822000000,386064000000,280522000000,232887000000
,"costOfRevenue",288831000000,272344000000,233307000000,165536000000,139156000000
,"grossProfit",225152000000,197478000000,152757000000,114986000000,93731000000
,"grossProfitRatio",0.4380533987,0.4203251444,0.3956779187,0.4099001148,0.4024741613
,"","","","","",""
"COST And EXPENSES","",,,,,
,"ResearchAndDevelopmentExpenses",73213000000,56052000000,42740000000,35931000000,28837000000
,"GeneralAndAdministrativeExpenses",11891000000,8823000000,6668000000,5203000000,4336000000
,"SellingAndMarketingExpenses",42238000000,32551000000,22008000000,18878000000,13814000000
,"otherExpenses",-16806000000,14633000000,2371000000,203000000,-183000000
,"operatingExpenses",229713000000,157962000000,127471000000,100256000000,81484000000
,"costAndExpenses",518544000000,430306000000,360778000000,265792000000,220640000000
,"interestExpense",2367000000,1809000000,1647000000,1600000000,1417000000
,"","","","","",""
"EBITDA","",,,,,
,"depreciationAndAmortization",41921000000,34433000000,25180000000,21789000000,15341000000
,"EBITDA",54169000000,59312000000,48079000000,36330000000,27762000000
,"EBITDARatio",0.1053906452,0.1262435561,0.1245363463,0.129508559,0.1192080279
,"","","","","",""
"INCOME","",,,,,
,"operatingIncome",12248000000,24879000000,22899000000,14541000000,12421000000
,"operatingIncomeRatio",0.0238295819,0.0529540975,0.0593139998,0.0518355067,0.0533348791
,"totalOtherIncomeExpensesNet",-18187000000,13276000000,1295000000,-579000000,-1151000000
,"incomeBeforeTax",-5939000000,38155000000,24194000000,13962000000,11270000000
,"incomeBeforeTaxRatio",-0.0115548569,0.0812116078,0.0626683659,0.0497714974,0.0483925681
,"incomeTaxExpense",3217000000,4791000000,2863000000,2374000000,1197000000
,"netIncome",-2722000000,33364000000,21331000000,11588000000,10073000000
,"netIncomeRatio",-0.005295895,0.0710141288,0.055252497,0.0413087031,0.0432527363
,"","","","","",""
"EPS","",,,,,
,"EPS",-0.27,3.3,2.13,1.17,1.01
,"EPSDiluted",-0.27,3.24,2.09,1.15,1.01
,"weightedAverageShsOut",10081481481,10297530864,10206220095,10072142546,10002979145
,"weightedAverageShsOutDil",10189000000,10296000000,10198000000,10080000000,10000000000
